name,selected,shared name,type
MAP3K11,False,MAP3K11,dis
MAP3K8,False,MAP3K8,tb
SYBU,False,SYBU,dis
VDR,False,VDR,tb
SRP72,False,SRP72,dis
NELFCD,False,NELFCD,dis
NMT1,False,NMT1,dis
P2RY1,False,P2RY1,tb
NTNG2,False,NTNG2,tb
SEMA7A,False,SEMA7A,tb
PRMT9,False,PRMT9,tb
PITPNA,False,PITPNA,dis
PDE2A,False,PDE2A,tb
RFX7,False,RFX7,tb
PLAGL1,False,PLAGL1,dis
SLC35B1,False,SLC35B1,dis
UBE2D2,False,UBE2D2,dis
PFN2,False,PFN2,dis
SGCE,False,SGCE,dis
SKIL,False,SKIL,tb
RBP4,False,RBP4,dis
ZNHIT3,False,ZNHIT3,dis
PPM1A,False,PPM1A,dis
RAPH1,False,RAPH1,tb
UNC50,False,UNC50,dis
USP1,False,USP1,dis
STRA13,False,STRA13,
SYNGR3,False,SYNGR3,tb
TMEM57,False,TMEM57,
TFPI,False,TFPI,tb
SLC1A4,False,SLC1A4,tb
SLC25A19,False,SLC25A19,tb
SLC9A6,False,SLC9A6,dis
SLCO4A1,False,SLCO4A1,tb
TTC19,False,TTC19,dis
YPEL4,False,YPEL4,tb
