"name","selected","shared name"
"PITPNA","false","PITPNA"
"PDE2A","false","PDE2A"
"RFX7","false","RFX7"
"PLAGL1","false","PLAGL1"
"SLC35B1","false","SLC35B1"
"UBE2D2","false","UBE2D2"
"PFN2","false","PFN2"
"SGCE","false","SGCE"
"SKIL","false","SKIL"
"RBP4","false","RBP4"
"ZNHIT3","false","ZNHIT3"
"PPM1A","false","PPM1A"
"RAPH1","false","RAPH1"
"UNC50","false","UNC50"
"USP1","false","USP1"
"STRA13","false","STRA13"
"SYNGR3","false","SYNGR3"
"TMEM57","false","TMEM57"
"TFPI","false","TFPI"
"SLC1A4","false","SLC1A4"
"SLC25A19","false","SLC25A19"
"SLC9A6","false","SLC9A6"
"SLCO4A1","false","SLCO4A1"
"TTC19","false","TTC19"
"YPEL4","false","YPEL4"
